,CODIGO_CURSO,NUM_ALUNOS_MATRICULADOS,NUM_ALUNOS_CONCLUINTES,RECURSOS
97,1202855.0,11.0,0.0,0.0
98,1202871.0,0.0,0.0,4.0
99,1203359.0,6.0,0.0,0.0
100,1203399.0,6.0,0.0,0.0
101,1204146.0,8.0,1.0,0.0
102,1205603.0,100.0,4.0,3.0
103,1261971.0,190.0,26.0,0.0
104,1261972.0,301.0,43.0,5.0
105,1270010.0,224.0,6.0,1.0
106,1270017.0,168.0,12.0,2.0
107,1270037.0,133.0,3.0,0.0
108,1270057.0,196.0,7.0,2.0
109,1270062.0,200.0,4.0,0.0
110,1285517.0,155.0,11.0,0.0
111,1357965.0,101.0,0.0,4.0
112,1420159.0,49.0,0.0,0.0
113,1425400.0,109.0,0.0,4.0
114,116.0,271.0,29.0,12.0
115,119.0,296.0,23.0,12.0
116,122.0,470.0,84.0,12.0
117,126.0,326.0,51.0,12.0
118,127.0,360.0,25.0,12.0
119,128.0,486.0,93.0,12.0
120,132.0,532.0,80.0,12.0
121,133.0,116.0,6.0,12.0
122,135.0,697.0,98.0,12.0
123,136.0,414.0,63.0,12.0
124,137.0,431.0,78.0,12.0
125,138.0,419.0,60.0,12.0
126,139.0,424.0,38.0,12.0
127,140.0,568.0,78.0,12.0
128,141.0,289.0,48.0,12.0
129,142.0,372.0,46.0,12.0
130,143.0,400.0,76.0,12.0
131,144.0,312.0,54.0,12.0
132,145.0,1095.0,150.0,12.0
133,146.0,335.0,41.0,12.0
134,148.0,686.0,108.0,12.0
135,149.0,589.0,70.0,12.0
136,150.0,670.0,99.0,12.0
137,151.0,124.0,15.0,12.0
138,156.0,444.0,83.0,12.0
139,157.0,367.0,64.0,12.0
140,158.0,191.0,18.0,12.0
141,159.0,218.0,19.0,12.0
142,160.0,389.0,33.0,12.0
143,161.0,166.0,8.0,12.0
144,162.0,391.0,51.0,12.0
145,163.0,354.0,55.0,12.0
146,164.0,0.0,0.0,12.0
147,165.0,675.0,102.0,12.0
148,166.0,237.0,48.0,12.0
149,167.0,553.0,87.0,12.0
150,18030.0,373.0,46.0,12.0
151,18031.0,475.0,66.0,12.0
152,18032.0,276.0,9.0,12.0
153,18033.0,310.0,38.0,12.0
154,20551.0,187.0,19.0,12.0
155,22122.0,35.0,9.0,12.0
156,22844.0,92.0,86.0,12.0
157,22851.0,96.0,16.0,12.0
158,26030.0,184.0,19.0,12.0
159,26033.0,501.0,118.0,12.0
160,26035.0,45.0,12.0,12.0
161,26039.0,50.0,4.0,12.0
162,26040.0,28.0,4.0,12.0
163,26978.0,47.0,18.0,12.0
164,27858.0,70.0,23.0,12.0
165,29692.0,76.0,14.0,12.0
166,29693.0,147.0,35.0,12.0
167,29694.0,54.0,12.0,12.0
168,31376.0,105.0,31.0,12.0
169,31378.0,89.0,16.0,12.0
170,31381.0,221.0,43.0,12.0
171,31384.0,217.0,28.0,12.0
172,33204.0,197.0,37.0,12.0
