id_aluno,codigo_curso
510,80419
511,80419
512,80419
513,80419
514,80420
515,80420
516,80420
517,80420
518,80420
519,80877
520,80877
521,80877
522,80877
523,80877
524,80877
525,80886
526,80886
527,80899
528,80899
529,80899
530,94033
531,94033
532,94033
533,94033
534,95017
535,95017
536,95033
537,95044
538,95044
539,95044
540,95053
541,95053
542,95055
543,95057
544,95057
545,98609
546,98609
547,98609
548,98609
549,98609
550,99400
551,99400
552,99400
553,99400
554,99400
555,99400
556,99400
557,99400
558,99400
559,99404
560,99404
561,99404
562,99404
563,99404
564,99404
565,99406
566,99406
567,99406
568,99408
569,99408
570,99408
571,99409
572,99409
573,99411
574,99411
575,99411
576,99411
577,99411
578,99411
579,99411
580,99411
581,99413
582,99413
583,99413
584,99413
585,99413
586,99416
587,99418
588,99420
589,99423
590,99423
591,99423
592,99425
593,99426
594,99426
595,99426
596,99426
597,99426
598,99426
599,99444
600,99444
601,99444
602,99444
603,99444
604,99446
605,101666
606,101666
607,101666
608,101666
609,106411
610,106421
611,116188
612,116188
613,116192
614,116194
615,116194
616,116194
617,116220
618,116220
619,116220
620,116324
621,116324
622,116324
623,116324
624,116324
625,1108064
626,1108064
627,1108066
628,1108066
629,1108067
630,1108067
631,1108067
632,1108149
633,1108149
634,1108149
635,1108153
636,1108153
637,1108153
638,1108153
639,1108153
640,1108153
641,1108153
642,1108153
643,1108153
644,1108153
645,1108153
646,1108153
647,1108153
648,1108154
649,1108158
650,1108158
651,1108163
652,1108163
653,1108163
654,1108163
655,1108163
656,1108163
657,1108167
658,1108167
659,1108167
660,1108167
661,1108167
662,1108172
663,1109547
664,1109548
665,1109548
666,1279838
667,1279838
668,1279838
669,1279838
670,1279838
671,1279838
672,1279838
673,1279838
674,1279838
675,1279838
676,1279838
677,1279838
678,1279838
679,1279838
680,1279838
681,1279838
682,1279838
683,1279838
684,1279838
685,1279838
686,1279838
687,1316062
688,1321449
689,1321453
690,1321453
691,1321453
692,1321453
693,1457514
694,1457514
695,1457514
696,1457515
697,1457515
698,1457515
699,376
700,376
701,376
702,376
703,376
704,376
705,376
706,376
707,376
708,376
709,377
710,378
711,378
712,378
713,378
714,378
715,379
716,379
717,379
718,380
719,380
720,381
721,381
722,381
723,381
724,381
725,381
726,381
727,381
728,382
729,382
730,382
731,383
732,386
733,386
734,388
735,388
736,388
737,389
738,389
739,389
740,389
741,389
742,389
743,389
744,389
745,389
746,389
747,389
748,389
749,389
750,389
751,389
752,390
753,390
754,391
755,391
756,391
757,391
758,392
759,392
760,392
761,392
762,392
763,392
764,392
765,392
766,392
767,392
768,392
769,392
770,392
771,393
772,394
773,394
774,394
775,394
776,396
777,397
778,397
779,397
780,398
781,398
782,398
783,399
784,402
785,402
786,402
787,2133
788,20252
789,20252
790,27733
791,27733
792,27733
793,33083
794,34646
795,34646
796,34646
797,34646
798,34646
799,62484
800,62484
801,62484
802,62484
803,62486
804,62486
805,62486
806,62512
807,62512
808,62512
809,62512
810,62512
811,65424
812,65426
813,65426
814,65426
815,84526
816,84526
817,101606
818,101606
819,101614
820,101620
821,101620
822,101622
823,101637
824,101637
825,101639
826,101639
827,101639
828,101639
829,101643
830,101643
831,101645
832,101647
833,101651
834,101655
835,101659
836,104366
837,104366
838,104366
839,104368
840,104368
841,112086
842,112086
843,112088
844,112090
845,112090
846,112090
847,112094
